2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: error_page.default (method): <bound method ErrorController.handle_error of <splunk.appserver.mrsparkle.controllers.error.ErrorController object at 0x7f48acde0690>>
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: etc_path (str): /opt/splunk/etc
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: firstTimeLoginMessage (str): 
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: firstTimeLoginMessageOption (str): default
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: flash_major_version (int): 9
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: flash_minor_version (int): 0
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: flash_revision_version (int): 124
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: forceHttp10 (str): auto
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: guid (NoneType): None
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: httpport (int): 8065
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: includeSubDomains (bool): False
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: install_type (str): UNKNOWN_INSTALL_TYPE
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: instance_type (str): UNKNOWN
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: is_forwarder_license (bool): False
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: is_free_license (bool): False
2024-02-06 03:57:14,953 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: is_trial_license (bool): True
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: job_default_auto_cancel (int): 62
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: job_max_polling_interval (int): 1000
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: job_min_polling_interval (int): 100
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: js_logger_mode (str): None
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: js_logger_mode_server_end_point (str): util/log/js
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: js_logger_mode_server_max_buffer (int): 100
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: js_logger_mode_server_poll_buffer (int): 1000
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: jschart_results_limit (int): 10000
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: jschart_series_limit (int): 100
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: jschart_test_mode (bool): False
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: jschart_truncation_limit.chrome (int): 50000
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: jschart_truncation_limit.firefox (int): 50000
2024-02-06 03:57:14,954 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: jschart_truncation_limit.ie11 (int): 50000
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: jschart_truncation_limit.safari (int): 50000
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: keepAliveIdleTimeout (int): 7200
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: license_desc (str): UNKNOWN_LICENSE_DESCRIPTION
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: license_labels (list): []
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: license_state (str): OK
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: listenOnIPv6 (bool): False
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: log.access_maxfiles (int): 5
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: log.access_maxsize (int): 25000000
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: log.error_maxfiles (int): 5
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: log.error_maxsize (int): 25000000
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: log.screen (bool): True
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: loginBackgroundImageOption (str): default
2024-02-06 03:57:14,955 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: loginCustomBackgroundImage (str): 
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: loginCustomLogo (str): 
