127.0.0.1 - - [06/Feb/2024:03:05:02.858 +0000] "HEAD /robots.txt HTTP/1.1" 200 0 "-" "SplunkCli/6.0 (build b985591d12fd)" - - 0ms
127.0.0.1 - - [06/Feb/2024:03:08:52.968 +0000] "HEAD /robots.txt HTTP/1.1" 200 0 "-" "SplunkCli/6.0 (build b985591d12fd)" - - 0ms
65.49.20.117 - - [06/Feb/2024:03:09:47.652 +0000] "GET / HTTP/1.1" 303 341 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" - - 0ms
24.28.101.75 - admin [06/Feb/2024:03:13:12.825 +0000] "GET /en-US/splunkd/__raw/servicesNS/admin/-/data/ui/nav?output_mode=json&count=-1&_=1707189192036 HTTP/1.1" 200 2730 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 3ms
24.28.101.75 - admin [06/Feb/2024:03:13:12.826 +0000] "GET /en-US/splunkd/__raw/servicesNS/admin/search/data/ui/ui-tour?output_mode=json&count=-1&_=1707189192037 HTTP/1.1" 200 3786 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 5ms
24.28.101.75 - admin [06/Feb/2024:03:13:13.046 +0000] "GET /en-US/splunkd/__raw/servicesNS/nobody/system/data/ui/global-banner/BANNER_MESSAGE_SINGLETON?output_mode=json&_=1707189192038 HTTP/1.1" 200 654 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 1ms
24.28.101.75 - admin [06/Feb/2024:03:13:13.048 +0000] "GET /en-US/splunkd/__raw/services/server/info/server-info?output_mode=json&_=1707189192039 HTTP/1.1" 200 1153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 1ms
24.28.101.75 - admin [06/Feb/2024:03:13:13.049 +0000] "GET /en-US/splunkd/__raw/services/configs/conf-web/settings?output_mode=json&_=1707189192040 HTTP/1.1" 200 2380 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 7ms
24.28.101.75 - admin [06/Feb/2024:03:13:13.066 +0000] "GET /en-US/splunkd/__raw/servicesNS/admin/launcher/data/ui/ui-tour?output_mode=json&count=-1&_=1707189192041 HTTP/1.1" 200 3789 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 2ms
24.28.101.75 - admin [06/Feb/2024:03:13:13.068 +0000] "GET /en-US/splunkd/__raw/services/data/user-prefs/general?output_mode=json&_=1707189192042 HTTP/1.1" 200 651 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 6ms
24.28.101.75 - admin [06/Feb/2024:03:13:13.068 +0000] "GET /en-US/splunkd/__raw/servicesNS/admin/-/data/ui/manager?output_mode=json&count=0&digest=1&_=1707189192043 HTTP/1.1" 200 10034 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 39ms
24.28.101.75 - admin [06/Feb/2024:03:13:13.277 +0000] "GET /en-US/splunkd/__raw/services/authentication/users/admin?output_mode=json&_=1707189192044 HTTP/1.1" 200 1713 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 1ms
24.28.101.75 - admin [06/Feb/2024:03:13:13.287 +0000] "GET /en-US/splunkd/__raw/servicesNS/nobody/system/web-features?output_mode=json HTTP/1.1" 200 833 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 1ms
